id,type,title,bibcite_year,text_author,text_keyword,bibcite_secondary_title,bibcite_volume,bibcite_issue,bibcite_pages,bibcite_publisher,bibcite_isbn,bibcite_issn,bibcite_doi,bibcite_url,bibcite_citekey,status
29058,journal_article,"A Narrative Therapy Approach to Brief Treatment",2002,"P. Kelley",,"Journal of Brief Therapy",1,2,91-100,,,1533-2098,,,,1
29059,journal_article,"Coping with chronic pain: assessing narrative approaches",1997,"P. Kelley, P. Clifford",,"Soc Work",42,3,266-77,,,"0037-8046 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=9153095,,1
29060,journal_article,"Teaching narrative approaches in community practice",2003,"P. Kelley, S. Murty",,"Social Work Review",15,4,14-20,,,0111-7351,,,,1
29061,journal_article,"Everyday Storytelling: Supporting the Mediated Expression of Online Personal Testimony",2007,"A. Kelliher, G. Davenport",,"Lecture Notes in Computer Science",,,926-933,,,0302-9743,,,,1
29062,conference_proceedings,"Everyday Storytelling: Supporting the Mediated Expression of Online Personal Testimony",,"A. Kelliher, G. Davenport",,,,,926-933,Berlin,"0302-9743 3540731040",,,,,1
29063,journal_article,"Narrative and the Art of Two Children with Autism",1998,"J. Kellman",,"Visual Arts Research",24,2,38-48,,,0736-0770,,,,1
29064,journal_article,"Telling Space and Making Stories: Art, Narrative, and Place",1998,"J. Kellman",,"Art Education",51,6,35-40,,,0004-3125,,,,1
29065,journal_article,"Drawing with Peter: Autobiography, Narrative, and the Art of a Child with Autism",1999,"J. Kellman",,"Studies in Art Education",40,3,258-274,,,0039-3541,,,,1
29066,journal_article,"Making our own Stories: Influences on Children s Narrative Understanding",1996,"A. Kelly",,"Early Child Development and Care",116,,45-52,,,0300-4430,,,,1
29067,journal_article,"Thank You, Comrade Stalin! Soviet Public Culture from Revolution to Cold War by Jeffrey Brooks; Stalinism as a Way of Life: A Narrative in Documents by Lewis Siegelbaum and Andrei Sokolov",2001,"A. Kelly",,"New York Review of Books",48,19,45-48,,,0028-7504,,,,1
29068,journal_article,"Storytelling: A Way of Connecting",1995,"B. Kelly",,"Nursing Connections",8,4,5-11,,,0895-2809,,,,1
29069,conference_proceedings,"Recurrent Phenomena and Difference in the Prose Romance Cycle",,"D. Kelly",,,,,97-98,North-Holland,0444857818,,,,,1
29070,journal_article,"Mary Donaldson-Evans. Medical Examinations: Dissecting the Doctor in French Narrative Prose (1857-1894)",2001,"D. Kelly",,"French Forum",26,3,124-126,,,0098-9355,,,,1
29071,journal_article,"Narrative Poetics: Rhetoric, Orality and Performance",2005,"D. Kelly",,"Arthurian Studies",,,52-63,,,,,,,1
29072,journal_article,"Dublin s spatial narrative - the transition from essentially monocultural places to polycultural spaces",2005,"D. Kelly",,"Irish Geography",38,,209-224,,,0075-0778,,,,1
29073,journal_article,"Lee, Susanna, A World Abandoned by God: Narrative and Secularism",2007,"D. Kelly",,"French Review",80,,1377,,,0016-111X,,,,1
29074,journal_article,"D. Bruce Hindmarsh The Evangelical Conversion Narrative: Spiritual Autobiography in Early Modern England",2007,"E. Kelly",,"Studies in Religion",36,,614,,,0008-4298,,,,1
29075,conference_proceedings,"From  Fallen Woman  to Theotokos: Music, Women s Voices and Byzantine Narratives of Gender Identity",,"E. Kelly",,,,,164-181,Melbourne,1876503246,,,,,1
29076,journal_article,"Winslow Homer and the deflection of narrative",1995,"F. Kelly",,"Magazine Antiques",148,5,652-661,,,0161-9284,,,,1
29077,conference_proceedings,"The Column of Arcadius: Reflections of a Roman Narrative Tradition",,"J. Kelly",,,,,258-265,Melbourne,1876503246,,,,,1
29078,journal_article,"The Column of Arcadius: Reflections of a Roman Narrative Tradition",2006,"J. Kelly",,"Byzantina Australiensia",16,,258-265,,,0725-3079,,,,1
29079,journal_article,"Straight/Narrative? Writing Style Changes Readers  Perceptions of Story Quality",2003,"J. Kelly, J. Knight, L. Peck, G. Reel",,"Newspaper Research Journal",24,4,118-122,,,0739-5329,,,,1
29080,conference_proceedings,"A narrative model: Interpreting strategy through annual reports",,"L. Kelly",,,,,50-59,Asac,,,,,,1
29081,journal_article,"The narrative self in autobiographical accounts of illness",1997,"M. Kelly, H. Dickinson",,"Sociological Review",45,2,254-278,,,,,,,1
29082,journal_article,"Diamond, Jonathan. Narrative Means to Sober Ends: Treating Addiction and its Aftermath",2001,"S. Kelly",,"Smith College Studies in Social Work",72,1,167-169,,,0037-7317,,,,1
29083,journal_article,"Working with stories in nursing research: Procedures used in narrative analysis",2007,"T. Kelly, L. Howie",,"International Journal of Mental Health Nursing",16,2,136-144,,,,,,,1
29084,journal_article,"""Across Never"": Postmodern Theory and Narrative Praxis in Samuel R. Delany s NEVERYON Cycle",1997,"S. Kelso",,"Science Fiction Studies",24,2,289-301,,,0091-7729,,,,1
29085,journal_article,"Representing a described sequence of events: a dynamic view of narrative comprehension",2004,"S. Kelter, B. Kaup, B. Claus",,"J Exp Psychol Learn Mem Cogn",30,2,451-64,,,"0278-7393 (Print)","10.1037/0278-7393.30.2.451 2004-11031-013 [pii]",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=14979817,,1
29086,conference_proceedings,"Digital Storytelling: Creating Multimedia Narratives as School Projects Using Desktop Movies",,"K. Kemker, B. Calandra",,,,,140-141,Aace,1880094460,,,,,1
29087,journal_article,"The Government s Science and Technology Strategy: Beyond the Rhetoric",1994,"D. Kemp",,Search,25,5,134,,,0004-9549,,,,1
29088,conference_proceedings,"Narrative Ethics and Moral Law in Ricoeur",,"P. Kemp",,,,,32-46,"New York",0415938430,,,,,1
29089,journal_article,"Joint Storytelling by Patients With Alzheimer s Disease and Their Spouses",1995,"S. Kemper, K. Lyons, C. Anagnopoulos",,"Discourse Processes",20,2,205,,,0163-853X,,,,1
29090,conference_proceedings,"The Impact of Using Hypertext-Based Information Systems on Organizational Narrative: Changing the Structure of Stories",,"J. Kendall, K. Kendall",,,,,67-69,[np],,,,,,1
29091,journal_article,"VIRSTORY: A Collaborative Virtual Storytelling",2006,"A. Kendira, L. Perron",,"Lecture Notes in Computer Science",,,410-414,,,0302-9743,,,,1
29092,conference_proceedings,"VIRSTORY: A Collaborative Virtual Storytelling",,"A. Kendira, L. Perron",,,,,410-414,Berlin,"0302-9743 3540452591",,,,,1
29093,conference_proceedings,"Conflicting Presentations of the Same Character Within a Cycle",,"E. Kennedy",,,,,155-157,North-Holland,0444857818,,,,,1
29094,journal_article,"Bad Boys and Gentlemen: Gendered Narrative in Televised Sport",2000,"E. Kennedy",,"International Review for the Sociology of Sport",35,1,59-74,,,1012-6902,,,,1
29095,journal_article,"Not so fresh in the mind: a forensic linguistic analysis of suspected memorized narrative essays",2003,"G. Kennedy",,"Forensic Linguistics",10,1,75-101,,,,,,,1
29096,journal_article,"The landscape of caring for women: a narrative study of midwifery practice",2004,"H. Kennedy, M. Shannon, U. Chuahorm, M. Kravetz",,"J Midwifery Womens Health",49,1,14-23,,,"1526-9523 (Print)","10.1016/j.jmwh.2003.09.015 S152695230300388X [pii]",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=14710136,,1
29097,journal_article,"The Narrative of Civil Society in Communism s Collapse and Post-communism s Alternative: Emancipation and the Challenge of Polish Protest and Baltic Nationalism",1998,"M. Kennedy, D. Stukuls",,Constellations,5,,541-571,,,1351-0487,,,,1
29098,conference_proceedings,"The Sea Goddess Sedna: An Enduring Pan-Arctic Legend from Traditional Orature to the New Narratives of the Late Twentieth Century",,"M. Kennedy",,,,,211-224,"University of Ottawa Press",0776604414,,,,,1
29099,journal_article,"Delayed predictive accuracy of narrative recall after traumatic brain injury: salience and explicitness",2003,"M. Kennedy, M. Nawrocki",,"J Speech Lang Hear Res",46,1,98-112,,,"1092-4388 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=12647891,,1
29100,journal_article,"Delayed Predictive Accuracy of Narrative Recall After Traumatic Brain Injury: Salience and Explicitness",2003,"M. Kennedy, M. Nawrocki",,"Journal of Speech Language and Hearing Research",46,1,98-112,,,1092-4388,,http://jslhr.asha.org/cgi/content/abstract/46/1/98,,1
29101,journal_article,"Karen A. Foss, Sonja K. Foss and Cindy L. Griffin, Feminist Rhetorical Theories; Lidia Curti, Female Stories/Female Bodies: Narrative, Identity and Representation",2001,"R. Kennedy",,"Feminist Theory",2,1,133,,,,,,,1
29102,journal_article,"""The Teller of the Larger Tale"": Robert Wrigley s Variations of Narrative",2001,"S. Kennedy",,Shenandoah,51,4,50,,,0037-3583,,,,1
29103,journal_article,"Life Review and Heroic Narrative: Embracing Pathology and Attention to Context",1999,"S. Kennedy",,"Australian and New Zealand Journal of Family Therapy",20,1,1-10,,,0814-723X,,,,1
29104,journal_article,"Pygmalion as Narrative Bridge between the Centuries",2005,"V. Kennell",,Shaw,25,,73-81,,,0741-5842,,,,1
29105,journal_article,"Johnson, E. Joe, Once There Were Two True Friends: Idealized Male Friendship in French Narrative from the Middle Ages through the Enlightenment",2007,"B. Kennelly",,"French Review",80,,1366,,,0016-111X,,,,1
29106,journal_article,"Ruth Christie, Judith Drinkwater and John Macklin, The Scripted Self: Textual Identities in Contemporary Spanish Narrative",1997,"A. Kenney",,"Bulletin of Hispanic Studies- University of Liverpool",74,3,385,,,,,,,1
29107,conference_proceedings,"The Proof Is in the Passion: Emotion as an Index of Veridical Memory",,"M. Kenny",,,,,269-294,"Washington DC",1557985219,,,,,1
29108,journal_article,"The Death of Loving: Maternal Identity as Moral Constraint in a Narrative Testimonial Advocating Physician Assisted Suicide",2002,"R. Kenny",,"Health Communication",14,2,243-270,,,,,,,1
29109,journal_article,"William Henry Foster, The Captor s Narrative: Catholic Women and their Puritan Men on the Early American Frontier",2005,"E. Kent",,Itinerario,29,,167-168,,,0165-1153,,,,1
29110,journal_article,"The Evangelical Conversion Narrative: Spiritual Autobiography in Early Modern England. By D. Bruce Hindmarsh",2007,"J. Kent",,"Journal of Theological Studies",58,2,764-766,,,0022-5185,,,,1
29111,journal_article,"Visual texts: art, narrative and the CSF",1998,"V. Kent",,Idiom,33,1,36-47,,,0046-8568,,,,1
29112,journal_article,"Law, Narrative, and Performance",2004,"R. Kent-Drury",,"Eighteenth Century Studies",37,2,291-295,,,,,,,1
29113,journal_article,"Holocaust stories and narrative gerontology",2005,"G. Kenyon",,"Int J Aging Hum Dev",60,3,249-54,,,"0091-4150 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=15934216,,1
29114,journal_article,"The Separate Representation of Children in Australian Family Law - Effective Practice or Mere Rhetoric?",2002,"W. Keough",,"Canadian Journal of Family Law",19,2,371-422,,,0704-1225,,,,1
29115,journal_article,"Starring the text: The place of rhetoric in science studies - by Alan G. Gross",2006,"L. Keranen",,"Journal of Communication",56,4,866-867,,,0021-9916,,,,1
29116,conference_proceedings,"Evaluation of human beings  behaviour in folk tales",,"B. Kerbelyte",,,,,371-380,"Frankfurt am Main","0930-2336 3631486987",,,,,1
29117,journal_article,"Using Narrative Approaches to Teach Multicultural Counseling",2002,"S. Kerl",,"Journal of Multicultural Counseling and Development",30,2,135-143,,,0090-5461,,,,1
29118,journal_article,"Traveling Women: Narrative Visions of Early America - By Susan Clair Imbarrato",2008,"S. Kermes",,Historian,70,2,314-315,,,0018-2370,,,,1
29119,journal_article,"When Did the Victorian Period End? Relativity, Sexuality, Narrative",2006,"S. Kern",,"Journal of Victorian Culture",11,,326-337,,,1355-5502,,,,1
29120,journal_article,"Telling God s Story, Bible, Church and Narrative Theology (G. Loughlin)",1997,"F. Kerr",,"Journal of Theological Studies",48,1,366-368,,,,,,,1
29121,journal_article,"The acquisition of connectors in French L2 narrative discourse",1998,"B. Kerr-Barnes",,"Journal of French Language Studies",8,2,189-208,,,0959-2695,,,,1
29122,conference_proceedings,"Towards competence: A narrative and framework for spiritual care givers",,"M. Kerry",,,,,118-134,London,1853029696,,,,,1
29123,journal_article,"Chadwick Allen. Blood Narrative: Indigenous Identity in American Indian and Maori Literary and Activist Texts",2005,"H. Kersey",,"Journal of World History",16,,246-248,,,,,,,1
29124,journal_article,"Marte Hvam Hult, Framing a National Narrative: The Legend Collections of Peter Christen Asbjornsen",2003,"C. Kerst",,"Western Folklore",62,,308-309,,,0043-373X,,,,1
29125,journal_article,"Tyrone G. Martin, A Most Fortunate Ship: A Narrative History of OM Ironsides",1998,"F. Kert",,"Northern Mariner",8,2,112,,,1183-112X,,,,1
29126,journal_article,"Jack Zipes. Creative Storytelling: Building Community Changing Lives",1997,"A. Kertzer",,Ariel,28,1,228-229,,,0004-1327,,,,1
29127,journal_article,"[The psychoanalytic narrative. On the problem of objectivity]",1989,"I. Kerz-Ruhling",,"Psyche (Stuttg)",43,4,307-30,,,"0033-2623 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=2727311,,1
29128,journal_article,"Defining Testimonies: Narrative Remembrances by Armenian Survivors of Genocide",2002,"F. Keshgegian",,Proteus,19,2,43-48,,,0889-6348,,,,1
29129,journal_article,"Focus Groups as a Means of Qualitatively Assessing the U-Boat Narrative",2002,"F. Kessler",,Cartographica,37,4,33-60,,,0317-7173,,,,1
29130,journal_article,"Memory, Narrative and the Search for Identity in Psychoanalytic Psychotherapy: A Second Chance",2003,"C. Kestenbaum",,"Journal- American Academy of Psychoanalysis and Dynamic Psychiatry",31,4,647-662,,,,,,,1
29131,journal_article,"Detection and Its Designs: Narrative and Power in Nineteenth-Century Detective Fiction, by Peter Thoms",2000,"J. Kestner",,"Victorian Studies",42,3,550-551,,,0042-5222,,,,1
29132,journal_article,"The Wages of Sin: A Reappraisal of the  Succession Narrative",1996,"G. Keys",,"Journal for the Study of the Old Testament Supplement Series",,,ALL,,,0309-0787,,,,1
29133,conference_proceedings,"Narrative Strategies as Cultural Vehicles: On Rafik Schami s Novel Erzaehler der Nacht",,"I. Khalil",,,,,217-224,"Greenwood Press London",0313286299,,,,,1
29134,journal_article,"Representation, Race, and the ""Language"" of The Ineffable in Toni Morrison s Narrative",1999,"A. Khayati",,"African American Review",33,2,313-324,,,1062-4783,,,,1
29135,journal_article,"Michael Gilsenan. Lords of the Lebanese Marches: Violence and Narrative in an Arab Society",1997,"P. Khoury",,"American Historical Review",102,5,1539,,,0002-8762,,,,1
29136,journal_article,"Oral Tradition versus Digital Storytelling: On Educational Effects of Middle European Folk Tales and Their Value for Digital Storytelling",2004,"H. Kibbat",,"Lecture Notes in Computer Science.",,3105,293-296,,,0302-9743,,,,1
29137,conference_proceedings,"Oral Tradition versus Digital Storytelling: On Educational Effects of Middle European Folk Tales and Their Value for Digital Storytelling",,"H. Kibbat",,,,,293-296,Berlin,"0302-9743 3540222839",,,,,1
29138,journal_article,"Age, Narrative and Migration: The Life Course and Life Histories of Bengali Elders in London By Katy Gardner",2004,"N. Kibria",,"International Migration Review",38,,787,,,0197-9183,,,,1
29139,journal_article,"Anaphora in Russian Narrative Prose: A Cognitive Calculative Account",1996,"A. Kibrik",,"Typological Studies in Language",33,,255-304,,,0167-7373,,,,1
29140,journal_article,"[The patient as manifestation and narrative: disease pictures, life stories and the first psychoanalytic case report]",1993,"S. Kiceluk",,"Psyche (Stuttg)",47,9,815-54,,,"0033-2623 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=8210448,,1
29141,journal_article,"Not Breaking the Narrative: Individualized Competence Assessment in Educational Games",2007,"M. Kickmeier-Rust, D. Albert, C. Hockemeyer, T. Augustin",,,,,161-168,,,9781905305636,,,,1
29142,journal_article,"Different Ways of ""Seeing"": How Gender Differences in Information Processing Influence the Content Analysis of Narrative Texts",2000,"P. Kiecker, K. Palan, C. Areni",,"Marketing Letters",11,1,49-66,,,,,,,1
29143,journal_article,"[Values anamnesis: a narrative approach to determining and interpreting advance directives]",1997,"R. Kielstein, H. Sass",,"Wien Med Wochenschr",147,6,125-9,,,"0043-5341 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=9214148,,1
29144,journal_article,"Value Anamnesis (Value History): A Narrative Approach to Establish and to Interpret Advance Directives",1997,"R. Kielstein, H. Sass",,"Wiener Medizinische Wochenschrift",147,6,125-129,,,0043-5341,,,,1
29145,journal_article,"Body Work: Objects of Desire in Modern Narrative, Peter Brooks",1994,"R. Kiely",,"History of European Ideas",18,6,1044,,,0191-6599,,,,1
29146,journal_article,"Personal Narrative as a Medium for STD/HIV Intervention: A Preliminary Study",2003,"S. Kiene, W. Barta",,"Journal of Applied Social Psychology",33,11,2327-2340,,,0021-9029,,,,1
29147,conference_proceedings,"In search of a narrative",,"M. Kieran",,,,,69-88,London,0415305160,,,,,1
29148,journal_article,"In Defence of the Ethical Evaluation of Narrative Art",2001,"M. Kieran",,"British Journal of Aesthetics",41,1,26-38,,,0007-0904,,,,1
29149,journal_article,"Sensory and narrative identity: the narration of illness process among chronic renal sufferers in Ireland",2001,"C. Kierans, N. Maynooth",,"Anthropology and Medicine",8,2/3,237-254,,,,,,,1
29150,journal_article,"C. Shuttleworth Kraus (Ed.), The Limits of Historiography. Genre and Narrative in Ancient Historical Texts",2002,"W. Kierdorf",,"Historische Zeitschrift",274,1,148,,,0018-2613,,,,1
29151,journal_article,"Oral Language Development Through Storytelling: An Approach to Emergent Literacy",1993,"D. Kies, I. Rodriguez, F. Granato",,"Reading Improvement",30,1,43,,,0034-0510,,,,1
29152,conference_proceedings,"My Father s Shoes: The Therapeutic Value of Narrative Reframing",,"C. Kiesinger",,,,,95-114,"Walnut Creek CA","0759101280 0759101299",,,,,1
29153,journal_article,"Hegemonic identity-making in narrative",2006,"S. Kiesling",,"Studies in Interactional Sociolinguistics",23,,261-287,,,,,,,1
29154,conference_proceedings,"Arjuna, Bhima and Panji: three heroes at Candi Kendalisodo",,"L. Kieven",,,,,42-50,Leiden,"1380-782X 9004118659",,,,,1
29155,journal_article,"Narrative of a Journey across the Rocky Mountains to the Columbia River, and a Visit to the Sandwich Islands, Chili, &c., with a Scientific Appendix, by John Kirk Townsend",2001,"L. Kiff",,Condor,103,4,895-896,,,0010-5422,,,,1
29156,journal_article,"Teaching Social Studies through Storytelling: The Enduring Spirit of the Arctic",2008,"J. Kilbourne",,"Social Education",72,,322-325,,,0037-7724,,,,1
29157,journal_article,"Under the Sign of Hope: Feminist Methodology and Narrative Interpretation, by Leslie Rebecca Bloom",2001,"D. Kilgore",,"Adult Education Quarterly",52,1,83-84,,,0741-7136,,,,1
29158,conference_proceedings,"An Old Theme in the Present Time. Narratives about Death in Modem Society",,"G. Kilianova",,,,,381-390,"Frankfurt am Main","0930-2336 3631486987",,,,,1
29159,journal_article,"JULIET CUMMINS and DAVID BURCHELL (eds). Science, Literature and Rhetoric in Early Modern England",2008,"K. Killeen",,"Review of English Studies",59,242,772-774,,,0034-6551,,,,1
29160,journal_article,"Road Test for a New Model: Korean Musical Narrative and Theater in Comparative Context",2003,"A. Killick",,Ethnomusicology,47,2,180-204,,,0014-1836,,,,1
29161,journal_article,"Saad A. Sowayan, The Arabian Oral Historical Narrative. An Ethnographic and Linguistic Analysis",1996,"H. Kilpatrick",,"Journal of Arabic Literature",27,2,189-191,,,,,,,1
29162,journal_article,"Storytelling and Virtue",1997,"W. Kilpatrick",,"Social Studies Review",37,1,33-35,,,,,,,1
29163,journal_article,"The Dream as Text, The Dream as Narrative",2000,"P. Kilroe",,Dreaming,10,3,125-138,,,1053-0797,,,,1
29164,journal_article,"Studying Language Loss Through Narrative: The Case of Cajun French",2001,"P. Kilroe",,"Southern Journal of Linguistics",25,,56-73,,,,,,,1
29165,journal_article,"Signifying the Nation: Gabriel Dumont, Harry Robinson, and the Canadian Captivity Narrative",2003,"C. Kim",,"Studies in Canadian Literature",28,1,90-108,,,0380-6995,,,,1
29166,journal_article,"The Purpose of the Book of Exodus: A Narrative Criticism",2004,"E. Kim",,"Asia Journal of Theology",18,1,3-13,,,0217-1244,,,,1
29167,journal_article,"How Do We Change Preservice Teachers  Perceptions Of Scientists Using Digital Storytelling",2006,"H. Kim",,"Technology and Teacher Education Annual",1,,689-691,,,,,,,1
29168,conference_proceedings,"How Do We Change Preservice Teachers  Perceptions Of Scientists Using Digital Storytelling",,"H. Kim",,,,,689-691,"Association for the Advancement of Computing in Education",1880094584,,,,,1
29169,conference_proceedings,"Adaptation of Storytelling to Mobile Entertainment Service for Site-Specific Cultural and Historical Tour",,"H. Kim, J. Schliesser",,,,,97-108,Springer,"1097-4605 9783211695647",,,,,1
29170,conference_proceedings,"Mapping visual narrative as argument in interactive media",,"L. Kim",,,,,617-622,Amsterdam:,9074049079,,,,,1
29171,conference_proceedings,"Cultural and School-Grade Differences in Korean and White American Children s Narrative Skills",,"M. Kim",,,,,177-190,"Kluwer Academic Publishers",,,,,,1
29172,journal_article,"Cultural and School-Grade Differences in Korean and White American Children s Narrative Skills",2003,"M. Kim",,"International Review of Education",49,1/2,177-190,,,0020-8566,,,,1
29173,journal_article,"Cat, Rat, and Rugrats: Narrative Comprehension in Young Children with Down Syndrome",2008,"O. Kim, P. Kendeou, P. Broek, M. White, K. Kremer",,"Journal of Developmental and Physical Disabilities",20,4,337-351,,,1056-263X,,,,1
29174,journal_article,"Narrative Knowing: Basis for a Partnership on Language Diversity",1996,"Kim Reid",,"Learning Disability Quarterly",19,3,138-152,,,0731-9487,,,,1
29175,journal_article,"Community Storytelling Network, Neighborhood Context, and Civic Engagement: A Multilevel Approach",2006,"Y. Kim, S. Ball-Rokeach",,"Human Communication Research",32,4,411-439,,,0360-3989,,,,1
29176,conference_proceedings,"The Syair Awang Simuan as a Bilayered Narrative",,"L. Kimball",,,,,626-649,"Kota Samarahan Sarawak Malaysia",9839257021,,,,,1
29177,journal_article,"Bialock, Eccentric Spaces, Hidden Histories: Narrative, Ritual, and Royal Authority from The Chronicles of Japan to The Tale of the Heike",2008,"R. Kimbrough",,"Journal of Japanese Studies",34,,429-432,,,0095-6848,,,,1
29178,journal_article,"Mapping the New Territory-Storytelling About Culture, Work, and Technology",2005,"M. Kimeldorf",,"Career Planning and Adult Development Journal",21,,6-15,,,0736-1920,,,,1
29179,journal_article,"Narrative as a site of subject construction: the  Comfort Women  debate",2008,"M. Kimura",,"Feminist Theory",9,,5-24,,,1464-7001,,,,1
29180,journal_article,"Hot Spots, Avatars, and Narrative Fields Forever: Bunuel s Legacy for New Digital Media and Interactive Database Narrative",2002,"M. Kinder",,"Film Quarterly",55,4,2-15,,,0015-1386,,,,1
29181,conference_proceedings,"Dramatic Development and Narrative Design in the First Movement of Mozart s Concerto in C Minor, K. 491",,"W. Kinderman",,,,,285-302,"Ann Arbor",0472103148,,,,,1
29182,conference_proceedings,"Narrative Theory and/or/as Theory of Interpretation",,"T. Kindt, H. Muller",,,,,205-220,Berlin:,"1612-8427 3110178745",,,,,1
29183,journal_article,"Story Logic: Problems and Possibilities of Narrative. (David Herman)",2004,"A. King",,"Journal of Linguistic Anthropology",14,,297-298,,,1055-1360,,,,1
29184,journal_article,"Stillness: Alternative Temporalities in Nineteenth-Century Narrative",2008,"A. King",,"English Language Notes",46,,95-104,,,0013-8282,,,,1
29185,journal_article,"Soyinka: The Open Sore of a Continent: A Personal Narrative of the Nigerian Crisis",1996,"C. King",,Nation,263,5,25-27,,,0027-8378,,,,1
29186,conference_proceedings,"Chronic Pain and the Creation of Narrative",,"H. King",,,,,269-286,"Ann Arbor",0472109081,,,,,1
29187,journal_article,"Counter-Discourses on the Racialization of Theft and Ethics in Douglass s Narrative and Jacobs s Incidents",2003,"L. King",,Melus,28,4,55-82,,,,,,,1
29188,journal_article,"Writing Memory: The Structures of Autobiographical Narrative",1997,"N. King",,Diatribe,,,7-20,,,1352-4828,,,,1
29189,journal_article,"The Violent Woman: Femininity, Narrative, and Violence in Contemporary American Cinema by Hilary Neroni and Wonder Women: Feminisms and Superheroes by Lillian S. Robinson",2006,"N. King",,"Gender and Society",20,,422-423,,,0891-2432,,,,1
29190,journal_article,"Plotting the lives of others: narrative structure in some recent British autobiography",2008,"N. King",,"Qualitative Research",8,,339-346,,,1468-7941,,,,1
29191,journal_article,"The Testimony of the Beloved Disciple: Narrative, History and Theology in the Gospel of John. By Richard Bauckham",2009,"N. King",,"Heythrop Journal",50,1,163-164,,,0018-1196,,,,1
29192,journal_article,"Preaching Through Narrative",2005,"R. King",,"Expository Times",117,,100-104,,,0014-5246,,,,1
29193,journal_article,"Narrative Sermon on John 1:43-51",2005,"R. King",,"Expository Times",117,,114-115,,,0014-5246,,,,1
29194,journal_article,"Worship Resources Narrative Sermon on the Good Samaritan",2007,"R. King",,"Expository Times",118,,447-449,,,0014-5246,,,,1
29195,conference_proceedings,"Faulkner, Ideology, and Narrative",,"R. King",,,,,22-44,Jackson,"0878057609 0878057595",,,,,1
29196,journal_article,"Jenkins, McKay. The South in Black and White: Race, Sex, and Literature in the 1940s Romine, Scott. The Narrative Forms of Southern Community",2000,"R. King",,"Southern Quarterly",38,4,137-138,,,0038-4496,,,,1
29197,journal_article,"Narrative, Imagination, and the Search for Intelligibility in Environmental Ethics",1999,"R. King",,"Ethics and the Environment",4,1,23-38,,,,,,,1
29198,journal_article,"The Realignment of the Priestly Literature The Priestly Narrative in Genesis and Its Relation to Priestly Legislation and the Holiness School",2009,"T. King",,"Princeton Theological Monograph Series",,102,ALL,,,1040-9653,,,,1
29199,conference_proceedings,"The Significance of the Cross within the Plot of Matthew s Gospel: A Study in Narrative Criticism",,"J. Kingsbury",,,,,263-280,Leuven,"2877230643 9061865433 9068314939",,,,,1
29200,journal_article,"An indecent call from a man: Narrative as revelation of framework",1996,"K. Kinjo",,Pragmatics,6,4,465-490,,,1018-2101,,,,1
29201,journal_article,"Bruce Jackson, GET YOUR ASS IN THE WATER AND SWIM LIKE ME: AFRICAN AMERICAN NARRATIVE POETRY FROM ORAL TRADITION",2006,"V. Kinloch",,"Journal of African American History",91,,236-237,,,,,,,1
29202,journal_article,"Rhetoric, Action, and Agency in Institutionalized Science and Technology",2005,"W. Kinsella",,"Technical Communication Quarterly",14,3,303-310,,,1057-2252,,,,1
29203,conference_proceedings,"Das westliche und oestliche Weltbild in den Maerchen der Voelker des Baltikums",,"P. Kippar",,,,,391-394,"Frankfurt am Main","0930-2336 3631486987",,,,,1
29204,conference_proceedings,"Gradual Revelation as Narrative Strategy in Medieval Literature",,"I. Kirby",,,,,14-22,Lund,9789197693509,,,,,1
29205,journal_article,"Gradual Revelation as Narrative Strategy in Medieval Literature",2008,"I. Kirby",,"Lund Studies in English",112,,14-22,,,0076-1451,,,,1
29206,journal_article,"Socially constructed narrative interventions: A foundation for therapeutic alliances",2002,"S. Kirby, D. Cross",,"Forensic Focus",19,,187-205,,,,,,,1
29207,journal_article,"What s the Plot? Applying Narrative Theory to Research in Psychology",2002,"M. Kirkman",,"Australian Psychologist",37,1,30-38,,,,,,,1
29208,journal_article,"Parents  contributions to the narrative identity of offspring of donor-assisted conception",2003,"M. Kirkman",,"Social Science and Medicine",57,11,2229-2242,,,,,,,1
29209,journal_article,"Infertile women and the narrative work of mourning: Barriers to the revision of autobiographical narratives of motherhood",2003,"M. Kirkman",,"Narrative Inquiry",13,1,243-262,,,1387-6740,,,,1
29210,journal_article,"Saviours and satyrs: ambivalence in narrative meanings of sperm provision",2004,"M. Kirkman",,"Culture Health and Sexuality",6,,319-336,,,1369-1058,,,,1
